"","country","countryLabel","capital","capitalLabel","coordinate_location"
"1","http://www.wikidata.org/entity/Q889","Afghanistan","http://www.wikidata.org/entity/Q5838","Kabul","Point(69.165833333 34.532777777)"
"2","http://www.wikidata.org/entity/Q222","Albania","http://www.wikidata.org/entity/Q19689","Tirana","Point(19.82 41.33)"
"3","http://www.wikidata.org/entity/Q262","Algeria","http://www.wikidata.org/entity/Q3561","Algiers","Point(3.058611111 36.776388888)"
"4","http://www.wikidata.org/entity/Q228","Andorra","http://www.wikidata.org/entity/Q1863","Andorra la Vella","Point(1.5 42.5)"
"5","http://www.wikidata.org/entity/Q916","Angola","http://www.wikidata.org/entity/Q3897","Luanda","Point(13.234444444 -8.838333333)"
"6","http://www.wikidata.org/entity/Q781","Antigua and Barbuda","http://www.wikidata.org/entity/Q36262","Saint John's","Point(-61.844722222 17.121111111)"
"7","http://www.wikidata.org/entity/Q414","Argentina","http://www.wikidata.org/entity/Q1486","Buenos Aires","Point(-58.381944444 -34.599722222)"
"8","http://www.wikidata.org/entity/Q399","Armenia","http://www.wikidata.org/entity/Q1953","Yerevan","Point(44.514444444 40.181388888)"
"9","http://www.wikidata.org/entity/Q408","Australia","http://www.wikidata.org/entity/Q3114","Canberra","Point(149.126944444 -35.293055555)"
"10","http://www.wikidata.org/entity/Q40","Austria","http://www.wikidata.org/entity/Q1741","Vienna","Point(16.373064 48.20833)"
"11","http://www.wikidata.org/entity/Q227","Azerbaijan","http://www.wikidata.org/entity/Q9248","Baku","Point(49.835183333 40.366655555)"
"12","http://www.wikidata.org/entity/Q398","Bahrain","http://www.wikidata.org/entity/Q3882","Manama","Point(50.5775 26.225)"
"13","http://www.wikidata.org/entity/Q902","Bangladesh","http://www.wikidata.org/entity/Q1354","Dhaka","Point(90.396111111 23.716111111)"
"14","http://www.wikidata.org/entity/Q244","Barbados","http://www.wikidata.org/entity/Q36168","Bridgetown","Point(-59.616666666 13.0975)"
"15","http://www.wikidata.org/entity/Q184","Belarus","http://www.wikidata.org/entity/Q2280","Minsk","Point(27.561837 53.902246)"
"16","http://www.wikidata.org/entity/Q31","Belgium","http://www.wikidata.org/entity/Q239","City of Brussels","Point(4.351666666 50.846666666)"
"17","http://www.wikidata.org/entity/Q242","Belize","http://www.wikidata.org/entity/Q3043","Belmopan","Point(-88.7675 17.25)"
"18","http://www.wikidata.org/entity/Q962","Benin","http://www.wikidata.org/entity/Q3799","Porto-Novo","Point(2.616666666 6.483333333)"
"19","http://www.wikidata.org/entity/Q917","Bhutan","http://www.wikidata.org/entity/Q9270","Thimphu","Point(89.633333333 27.483333333)"
"20","http://www.wikidata.org/entity/Q750","Bolivia","http://www.wikidata.org/entity/Q1491","La Paz","Point(-68.1475 -16.494166666)"
"21","http://www.wikidata.org/entity/Q750","Bolivia","http://www.wikidata.org/entity/Q2907","Sucre","Point(-65.25917 -19.04306)"
"22","http://www.wikidata.org/entity/Q225","Bosnia and Herzegovina","http://www.wikidata.org/entity/Q11194","Sarajevo","Point(18.416666666 43.866666666)"
"23","http://www.wikidata.org/entity/Q963","Botswana","http://www.wikidata.org/entity/Q3919","Gaborone","Point(25.908611111 -24.656944444)"
"24","http://www.wikidata.org/entity/Q155","Brazil","http://www.wikidata.org/entity/Q2844","Brasília","Point(-47.882777777 -15.793888888)"
"25","http://www.wikidata.org/entity/Q921","Brunei","http://www.wikidata.org/entity/Q9279","Bandar Seri Begawan","Point(114.916666666 4.916666666)"
"26","http://www.wikidata.org/entity/Q219","Bulgaria","http://www.wikidata.org/entity/Q472","Sofia","Point(23.32415 42.69751)"
"27","http://www.wikidata.org/entity/Q965","Burkina Faso","http://www.wikidata.org/entity/Q3777","Ouagadougou","Point(-1.535277777 12.357222222)"
"28","http://www.wikidata.org/entity/Q967","Burundi","http://www.wikidata.org/entity/Q167551","Gitega","Point(29.930555555 -3.426388888)"
"29","http://www.wikidata.org/entity/Q424","Cambodia","http://www.wikidata.org/entity/Q1850","Phnom Penh","Point(104.921027777 11.569583333)"
"30","http://www.wikidata.org/entity/Q1009","Cameroon","http://www.wikidata.org/entity/Q3808","Yaoundé","Point(11.518055555 3.857777777)"
"31","http://www.wikidata.org/entity/Q16","Canada","http://www.wikidata.org/entity/Q1930","Ottawa","Point(-75.695 45.424722222)"
"32","http://www.wikidata.org/entity/Q1011","Cape Verde","http://www.wikidata.org/entity/Q3751","Praia","Point(-23.509155555 14.917719444)"
"33","http://www.wikidata.org/entity/Q929","Central African Republic","http://www.wikidata.org/entity/Q3832","Bangui","Point(18.562833333 4.37325)"
"34","http://www.wikidata.org/entity/Q657","Chad","http://www.wikidata.org/entity/Q3659","N'Djamena","Point(15.05 12.11)"
"35","http://www.wikidata.org/entity/Q298","Chile","http://www.wikidata.org/entity/Q2887","Santiago","Point(-70.666666666 -33.45)"
"36","http://www.wikidata.org/entity/Q739","Colombia","http://www.wikidata.org/entity/Q2841","Bogota","Point(-74.0705 4.612638888)"
"37","http://www.wikidata.org/entity/Q970","Comoros","http://www.wikidata.org/entity/Q3901","Moroni","Point(43.253611111 -11.703611111)"
"38","http://www.wikidata.org/entity/Q800","Costa Rica","http://www.wikidata.org/entity/Q3070","San José","Point(-84.083333333 9.933333333)"
"39","http://www.wikidata.org/entity/Q224","Croatia","http://www.wikidata.org/entity/Q1435","Zagreb","Point(15.95 45.8)"
"40","http://www.wikidata.org/entity/Q241","Cuba","http://www.wikidata.org/entity/Q1563","Havana","Point(-82.358888888 23.136666666)"
"41","http://www.wikidata.org/entity/Q229","Cyprus","http://www.wikidata.org/entity/Q3856","Nicosia","Point(33.365 35.1725)"
"42","http://www.wikidata.org/entity/Q213","Czech Republic","http://www.wikidata.org/entity/Q1085","Prague","Point(14.416666666 50.083333333)"
"43","http://www.wikidata.org/entity/Q756617","Danish Realm","http://www.wikidata.org/entity/Q1748","Copenhagen","Point(12.568888888 55.676111111)"
"44","http://www.wikidata.org/entity/Q974","Democratic Republic of the Congo","http://www.wikidata.org/entity/Q3838","Kinshasa","Point(15.313888888 -4.331666666)"
"45","http://www.wikidata.org/entity/Q35","Denmark","http://www.wikidata.org/entity/Q1748","Copenhagen","Point(12.568888888 55.676111111)"
"46","http://www.wikidata.org/entity/Q977","Djibouti","http://www.wikidata.org/entity/Q3604","Djibouti","Point(43.148055555 11.595)"
"47","http://www.wikidata.org/entity/Q784","Dominica","http://www.wikidata.org/entity/Q36281","Roseau","Point(-61.383333333 15.3)"
"48","http://www.wikidata.org/entity/Q786","Dominican Republic","http://www.wikidata.org/entity/Q34820","Santo Domingo","Point(-69.893333333 18.476388888)"
"49","http://www.wikidata.org/entity/Q574","East Timor","http://www.wikidata.org/entity/Q9310","Dili","Point(125.573611111 -8.558611111)"
"50","http://www.wikidata.org/entity/Q736","Ecuador","http://www.wikidata.org/entity/Q2900","Quito","Point(-78.509722 -0.218611)"
"51","http://www.wikidata.org/entity/Q79","Egypt","http://www.wikidata.org/entity/Q85","Cairo","Point(31.239444444 30.056111111)"
"52","http://www.wikidata.org/entity/Q792","El Salvador","http://www.wikidata.org/entity/Q3110","San Salvador","Point(-89.191388888 13.698888888)"
"53","http://www.wikidata.org/entity/Q983","Equatorial Guinea","http://www.wikidata.org/entity/Q3818","Malabo","Point(8.7737 3.752063888)"
"54","http://www.wikidata.org/entity/Q986","Eritrea","http://www.wikidata.org/entity/Q3642","Asmara","Point(38.916666666 15.333333333)"
"55","http://www.wikidata.org/entity/Q191","Estonia","http://www.wikidata.org/entity/Q1770","Tallinn","Point(24.745 59.437222222)"
"56","http://www.wikidata.org/entity/Q1050","Eswatini","http://www.wikidata.org/entity/Q3904","Mbabane","Point(31.161666666 -26.320833333)"
"57","http://www.wikidata.org/entity/Q1050","Eswatini","http://www.wikidata.org/entity/Q101418","Lobamba","Point(31.166666666 -26.416666666)"
"58","http://www.wikidata.org/entity/Q115","Ethiopia","http://www.wikidata.org/entity/Q3624","Addis Ababa","Point(38.736944444 9.027222222)"
"59","http://www.wikidata.org/entity/Q702","Federated States of Micronesia","http://www.wikidata.org/entity/Q42751","Palikir","Point(158.185 6.917777777)"
"60","http://www.wikidata.org/entity/Q712","Fiji","http://www.wikidata.org/entity/Q38807","Suva","Point(178.433333333 -18.133333333)"
"61","http://www.wikidata.org/entity/Q33","Finland","http://www.wikidata.org/entity/Q1757","Helsinki","Point(24.93417 60.17556)"
"62","http://www.wikidata.org/entity/Q142","France","http://www.wikidata.org/entity/Q90","Paris","Point(2.351388888 48.856944444)"
"63","http://www.wikidata.org/entity/Q1000","Gabon","http://www.wikidata.org/entity/Q3825","Libreville","Point(9.4544 0.3901)"
"64","http://www.wikidata.org/entity/Q230","Georgia","http://www.wikidata.org/entity/Q994","Tbilisi","Point(44.7925 41.7225)"
"65","http://www.wikidata.org/entity/Q183","Germany","http://www.wikidata.org/entity/Q64","Berlin","Point(13.383333333 52.516666666)"
"66","http://www.wikidata.org/entity/Q117","Ghana","http://www.wikidata.org/entity/Q3761","Accra","Point(-0.187 5.6037)"
"67","http://www.wikidata.org/entity/Q41","Greece","http://www.wikidata.org/entity/Q1524","Athens","Point(23.716111111 37.979444444)"
"68","http://www.wikidata.org/entity/Q769","Grenada","http://www.wikidata.org/entity/Q41547","St. George's","Point(-61.741666666 12.044444444)"
"69","http://www.wikidata.org/entity/Q774","Guatemala","http://www.wikidata.org/entity/Q1555","Guatemala City","Point(-90.52525 14.609861111)"
"70","http://www.wikidata.org/entity/Q1006","Guinea","http://www.wikidata.org/entity/Q3733","Conakry","Point(-13.712222222 9.509166666)"
